run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cost,cpu_time_sec,cpu_time_grasp_sec,cpu_time_vnd_sec
scenario_5__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_5,1,grasp_vnd,40.0,60.0,1.4676698807274986,2.2820465064052557,937.5639380862427,382.0,1201.0705528958629,124.73440027236938,120.98626065254211,3.7481396198272705
scenario_5__seed2__algograsp__alpha0.3__ms30__tl120,scenario_5,2,grasp,38.0,62.0,2.9611452578276256,1.9648022491889656,909.3235197974496,342.0,1240.996987458188,120.37969946861267,120.37969946861267,0.0
scenario_5__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_5,2,grasp_vnd,38.0,62.0,3.6655170722540333,2.09111803866265,857.6325058885103,308.0,1240.9192011669884,122.48197913169861,120.37969946861267,2.1022796630859375
scenario_5__seed3__algograsp__alpha0.3__ms30__tl120,scenario_5,3,grasp,38.0,62.0,2.9736013513102835,1.7488489108338854,893.3397084926479,338.0,1240.9823797291413,120.93225026130676,120.93225026130676,0.0
scenario_5__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_5,3,grasp_vnd,38.0,62.0,2.912010310883274,1.7488489108338854,869.3992489564215,329.0,1240.9561372147903,124.33557963371277,120.93225026130676,3.403329372406006
scenario_5__seed4__algograsp__alpha0.3__ms30__tl120,scenario_5,4,grasp,38.0,62.0,2.938896486485413,2.452992464941049,983.4494950578742,376.0,1241.0871356727323,120.33014941215515,120.33014941215515,0.0
scenario_5__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_5,4,grasp_vnd,38.0,62.0,3.570475433853834,2.6174946639641075,930.9923522007314,342.0,1241.0089272356158,123.25162315368652,120.33014941215515,2.921473741531372
scenario_5__seed5__algograsp__alpha0.3__ms30__tl120,scenario_5,5,grasp,38.0,62.0,2.0477079678611276,2.1274619715146854,867.0700456358658,340.0,1240.9708050729068,120.30668783187866,120.30668783187866,0.0
scenario_5__seed5__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_5,5,grasp_vnd,38.0,62.0,2.0477079678611276,2.1274619715146854,838.2700456358657,328.0,1240.937534547493,122.27223777770996,120.30668783187866,1.9655499458312988
scenario_6__seed1__algograsp__alpha0.3__ms30__tl120,scenario_6,1,grasp,52.0,48.0,1.609284495932783,7.746948670264214,1097.9685080742192,434.0,960.9341951896464,120.82630968093872,120.82630968093872,0.0
scenario_6__seed1__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_6,1,grasp_vnd,52.0,48.0,1.5432807890421156,6.738071953468855,948.3077438873329,373.0,960.8049189255694,139.2445731163025,120.82630968093872,18.41826343536377
scenario_6__seed2__algograsp__alpha0.3__ms30__tl120,scenario_6,2,grasp,51.0,49.0,2.5776884129648994,8.029671684111925,1230.4335376326385,478.0,981.0381052148405,122.46924662590027,122.46924662590027,0.0
scenario_6__seed2__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_6,2,grasp_vnd,51.0,49.0,3.2740050890106387,7.2738091966099025,1169.945688110971,438.0,980.9697093665111,131.29784989356995,122.46924662590027,8.828603267669678
scenario_6__seed3__algograsp__alpha0.3__ms30__tl120,scenario_6,3,grasp,46.0,54.0,2.5931808963764014,6.90212908800215,1182.2577498047428,478.0,1081.0171518599166,120.1886236667633,120.1886236667633,0.0
scenario_6__seed3__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_6,3,grasp_vnd,46.0,54.0,2.9392063001996247,4.182424573075141,1004.2892040948971,391.0,1080.8482066375702,144.12670516967773,120.1886236667633,23.93808150291443
scenario_6__seed4__algograsp__alpha0.3__ms30__tl120,scenario_6,4,grasp,55.0,45.0,1.5414056819816415,7.2607490856583485,1143.2915982232762,458.0,900.9791603306538,120.79246258735657,120.79246258735657,0.0
scenario_6__seed4__algograsp_vnd__alpha0.3__ms30__tl30__vnd1,scenario_6,4,grasp_vnd,55.0,45.0,2.1031770552301094,5.808637620894185,1080.0175951805131,419.0,900.9106048741168,137.74855589866638,120.79246258735657,16.956093311309814
