run_id,scenario,seed,algo,served,unserved,wait_mean_min,ride_time_extra_mean_min,time_total_min,dist_total_km,cpu_time_sec
scenario_7__seed4__algobaseline,scenario_7,4,baseline,38,82,1.9456383229294085,2.6323192382529026,812.9056848427462,314.0,3.0851926803588867
scenario_7__seed5__algobaseline,scenario_7,5,baseline,43,77,1.2030988331048678,3.300287560928389,907.847535537795,382.0,2.9230709075927734
scenario_8__seed1__algobaseline,scenario_8,1,baseline,31,89,2.214701762145637,2.582769229616164,655.8557546265147,258.0,2.8261637687683105
scenario_8__seed2__algobaseline,scenario_8,2,baseline,36,84,1.8165145701530723,1.902964955934828,715.5659530969392,286.0,3.2760939598083496
scenario_8__seed3__algobaseline,scenario_8,3,baseline,33,87,1.4951935697204286,2.3365305944362302,623.8556735150598,252.0,4.624693870544434
scenario_8__seed4__algobaseline,scenario_8,4,baseline,30,90,1.3091389458985743,2.1239472271321262,547.3884540912429,216.0,2.481065273284912
scenario_8__seed5__algobaseline,scenario_8,5,baseline,32,88,0.758149397246183,2.887559334124356,687.6893521404493,302.0,2.3396847248077393
scenario_9__seed1__algobaseline,scenario_9,1,baseline,57,63,1.7629273313116687,3.808380917019591,1260.7154293133365,510.0,4.567802906036377
scenario_9__seed2__algobaseline,scenario_9,2,baseline,61,59,2.045203423391811,2.826850598682186,1267.7288373983288,498.0,5.038693428039551
scenario_9__seed3__algobaseline,scenario_9,3,baseline,55,65,1.4177626072412073,2.756047701869844,1205.634086255409,496.0,5.722453594207764
scenario_9__seed4__algobaseline,scenario_9,4,baseline,53,67,2.4413054097081637,3.7941474330496243,1089.6177581431039,408.0,4.354434013366699
scenario_9__seed5__algobaseline,scenario_9,5,baseline,56,64,1.4544554304926158,2.254288338694987,1304.1923612504436,548.0,3.6706762313842773
scenario_10__seed1__algobaseline,scenario_10,1,baseline,45,55,2.822268539104552,3.2437770486223676,1127.4592271168478,444.0,2.7452409267425537
scenario_10__seed2__algobaseline,scenario_10,2,baseline,47,53,1.7461741646260975,4.701870100392157,1060.698757165998,422.0,2.8338992595672607
scenario_10__seed3__algobaseline,scenario_10,3,baseline,49,51,1.9786721982897444,4.7037197178172585,1124.383509144769,460.0,3.054840564727783
scenario_10__seed4__algobaseline,scenario_10,4,baseline,50,50,1.3609701036359987,4.21794315238919,1137.7627908960853,472.0,3.4404830932617188
scenario_10__seed5__algobaseline,scenario_10,5,baseline,46,54,0.6823575071895632,2.6970433801877856,1027.9598739021485,440.0,3.4749488830566406
